emissions,fips,county,period,p5,p17,p50,p83,p95
4.5,53039,Klickitat,2020-2039,8.6,10.2,12.1,15.7,17.9
4.5,53039,Klickitat,2040-2059,10.8,12.7,16.3,24.6,27.4
4.5,53039,Klickitat,2080-2099,15.1,16.4,20.1,34,44.4
4.5,53041,Lewis,1981-2010,,,4.73,,
4.5,53041,Lewis,2020-2039,5.5,7.2,8.6,10.3,12.7
4.5,53041,Lewis,2040-2059,7.7,9.3,12.7,18.9,19.8
4.5,53041,Lewis,2080-2099,11.1,12.3,15.8,24.2,33
4.5,53043,Lincoln,1981-2010,,,3.67,,
4.5,53043,Lincoln,2020-2039,2.4,7.8,9.3,13.6,16.1
4.5,53043,Lincoln,2040-2059,8.2,9.8,13.8,23.8,27.9
4.5,53043,Lincoln,2080-2099,10.7,13.1,19.5,36.9,45.5
4.5,53045,Mason,1981-2010,,,0.13,,
4.5,53045,Mason,2020-2039,0.1,0.3,0.7,0.9,1.2
4.5,53045,Mason,2040-2059,0.3,0.4,0.8,1.5,2.5
4.5,53045,Mason,2080-2099,0.5,0.8,1.4,3.7,5.1
4.5,53047,Okanogan,1981-2010,,,7.27,,
4.5,53047,Okanogan,2020-2039,6.9,12.2,15.7,19.9,21.9
4.5,53047,Okanogan,2040-2059,15.2,16.6,22.2,31,36.4
4.5,53047,Okanogan,2080-2099,17.3,19.4,25.9,44.6,55.6
4.5,53049,Pacific,1981-2010,,,0.63,,
4.5,53049,Pacific,2020-2039,0.8,0.9,1.1,1.4,1.8
4.5,53049,Pacific,2040-2059,0.6,0.8,1.1,1.6,2.1
4.5,53049,Pacific,2080-2099,1.4,1.6,2.1,3.5,4.5
4.5,53051,Pend Oreille,1981-2010,,,4.57,,
4.5,53051,Pend Oreille,2020-2039,4.7,7.5,9.1,12.6,15.4
4.5,53051,Pend Oreille,2040-2059,9.9,10.7,13.2,20.4,24
4.5,53051,Pend Oreille,2080-2099,12.2,13.3,18.4,31.7,42.4
4.5,53053,Pierce,1981-2010,,,0.3,,
4.5,53053,Pierce,2020-2039,0.3,0.6,0.8,1.3,1.4
4.5,53053,Pierce,2040-2059,0.9,1.2,1.8,3.2,4
4.5,53053,Pierce,2080-2099,1.4,1.8,2.7,5.9,9.7
4.5,53055,San Juan,1981-2010,,,0,,
4.5,53055,San Juan,2020-2039,0,0,0.1,0.1,0.1
4.5,53055,San Juan,2040-2059,0,0,0.1,0.1,0.4
4.5,53055,San Juan,2080-2099,0,0,0.1,0.4,1
4.5,53057,Skagit,1981-2010,,,0.37,,
4.5,53057,Skagit,2020-2039,0.5,0.8,1.4,1.8,2.1
4.5,53057,Skagit,2040-2059,1.2,1.6,2.5,5,6
4.5,53057,Skagit,2080-2099,1.9,2.4,3.8,8.1,13.9
4.5,53059,Skamania,1981-2010,,,4.2,,
4.5,53059,Skamania,2020-2039,4.2,6,7.5,9.6,12.1
4.5,53059,Skamania,2040-2059,7.2,8.2,11.9,18.7,19.9
4.5,53059,Skamania,2080-2099,11.2,12,15.4,25.1,33.6
4.5,53061,Snohomish,1981-2010,,,0.73,,
4.5,53061,Snohomish,2020-2039,0.6,1.2,1.8,2.5,2.8
4.5,53061,Snohomish,2040-2059,1.7,2.1,3.5,5.6,6.9
4.5,53061,Snohomish,2080-2099,2.6,3.2,4.7,10.6,14.8
4.5,53063,Spokane,1981-2010,,,4.33,,
4.5,53063,Spokane,2020-2039,2.4,7.8,9.7,13,16.6
4.5,53063,Spokane,2040-2059,7.8,10.9,13.2,22.3,27.1
4.5,53063,Spokane,2080-2099,9.6,12.8,19.1,34.5,45.5
4.5,53065,Stevens,1981-2010,,,12.8,,
4.5,53065,Stevens,2020-2039,6.3,12.4,15,19.8,23.9
4.5,53065,Stevens,2040-2059,14.7,16.4,19.4,30.1,36.2
4.5,53065,Stevens,2080-2099,17.4,19.2,26.4,43.1,56.6
4.5,53067,Thurston,1981-2010,,,1.2,,
4.5,53067,Thurston,2020-2039,1.1,1.6,2.1,2.6,3.1
4.5,53067,Thurston,2040-2059,1.9,2.2,3.5,5.2,7
4.5,53067,Thurston,2080-2099,3,3.5,5,9,12.5
4.5,53069,Wahkiakum,1981-2010,,,1.53,,
4.5,53069,Wahkiakum,2020-2039,1.2,2,2.2,3,3.1
4.5,53069,Wahkiakum,2040-2059,1.9,2.5,3.4,5,6.1
4.5,53069,Wahkiakum,2080-2099,3,3.8,4.5,8,9.8
4.5,53071,Walla Walla,1981-2010,,,17.57,,
4.5,53071,Walla Walla,2020-2039,18.2,25.8,29.1,36,39.9
4.5,53071,Walla Walla,2040-2059,25.4,28.2,35.3,46.8,52.5
4.5,53071,Walla Walla,2080-2099,32.2,33.5,42.6,61.1,69.5
4.5,53073,Whatcom,1981-2010,,,0.43,,
4.5,53073,Whatcom,2020-2039,0.5,0.8,1.2,1.6,2
4.5,53073,Whatcom,2040-2059,1.4,1.8,2.8,4.5,5.5
4.5,53073,Whatcom,2080-2099,1.8,2.1,3.5,7.7,12.7
4.5,53075,Whitman,1981-2010,,,7.47,,
4.5,53075,Whitman,2020-2039,4.9,12.8,15.2,19.6,23.8
4.5,53075,Whitman,2040-2059,12.7,15.4,20.2,29.9,36.6
4.5,53075,Whitman,2080-2099,15.3,19.2,27.4,44.4,55.4
4.5,53077,Yakima,1981-2010,,,11.43,,
4.5,53077,Yakima,2020-2039,12.7,19.2,21.5,27.1,31
4.5,53077,Yakima,2040-2059,19,20.9,28.1,37.9,40.7
4.5,53077,Yakima,2080-2099,23.1,25.4,32.2,52.2,64
8.5,53000,STATE,1981-2010,,,2.62,,
8.5,53000,STATE,2020-2039,3.1,4.1,5.6,6.7,7.8
8.5,53000,STATE,2040-2059,4.6,6.8,9.9,12.8,14.8
8.5,53000,STATE,2080-2099,10.3,14.5,21.7,35.7,48.7
8.5,53001,Adams,1981-2010,,,10.8,,
8.5,53001,Adams,2020-2039,10.7,14.2,19.1,23.1,25.4
8.5,53001,Adams,2040-2059,15.8,18.3,28.1,36,39.2
8.5,53001,Adams,2080-2099,28.9,41,52.1,72.9,83.7
8.5,53003,Asotin,1981-2010,,,19.1,,
8.5,53003,Asotin,2020-2039,21,26,31.4,36.1,37.9
